name,best_thr,test_acc,test_bal_acc,test_pnl,test_trades,test_sharpe_trades,test_mdd
Buy&Hold,,,,0.463801963,1,0.932959358,-0.3540246
LSTM,0.62,0.542061986,0.542243446,0.215255158,914,0.628879237,-0.270200896
GRU,0.64,0.583681214,0.584025362,1.577905278,1555,3.541110855,-0.17147945
